411417,5518724,HN334158,06/17/2001 10:00:00 AM,021XX N CALIFORNIA AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,f,t,1414,14,35,22,02,1157304,1914473,2001,06/04/2007 01:38:54 AM,41.921079951,-87.697453621,"(41.921079951, -87.697453621)"
424296,5543139,HN349619,01/01/2001 09:00:00 AM,032XX N PULASKI RD,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,1731,17,31,16,06,1149115,1921373,2001,05/25/2007 02:27:12 AM,41.940176841,-87.727362915,"(41.940176841, -87.727362915)"
431713,5557579,HN366391,07/01/2001 09:00:00 AM,009XX N MONTICELLO AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,f,f,1112,11,27,23,06,1151914,1906100,2001,06/24/2007 02:00:14 AM,41.898211628,-87.717478717,"(41.898211628, -87.717478717)"
441416,5573442,HN376967,01/01/2001 12:01:00 AM,056XX W BELMONT AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESTAURANT,f,f,2514,25,30,19,06,1138363,1920674,2001,06/11/2007 01:50:55 AM,41.938460477,-87.766897531,"(41.938460477, -87.766897531)"
445471,5581125,HN388461,01/01/2001 12:00:00 AM,013XX W 15TH ST,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,t,f,1222,12,2,28,12,1167660,1892819,2001,04/25/2008 01:06:11 AM,41.861442825,-87.660027716,"(41.861442825, -87.660027716)"
448253,5585696,HN393500,10/01/2001 08:00:00 AM,027XX N KEDZIE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,f,f,1411,14,35,22,06,1154614,1917948,2001,06/16/2007 03:08:37 AM,41.930669937,-87.707244113,"(41.930669937, -87.707244113)"
449328,5587022,HN394838,06/09/2001 02:30:00 PM,105XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,f,f,512,5,9,49,14,1179828,1834839,2001,06/12/2007 01:51:41 AM,41.702069498,-87.617134454,"(41.702069498, -87.617134454)"
453001,5592779,HN398261,01/01/2001 12:01:00 AM,011XX N CROSBY ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,1822,18,27,8,06,1171687,1907509,2001,06/19/2007 01:55:01 AM,41.901665552,-87.644812831,"(41.901665552, -87.644812831)"
454016,5594664,HN402291,04/30/2001 12:00:00 AM,016XX W 69TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,f,f,725,7,17,67,06,1166397,1858990,2001,06/23/2007 02:27:54 AM,41.768639414,-87.66562883,"(41.768639414, -87.66562883)"
454269,5595162,HN402479,10/19/2001 12:01:00 AM,030XX N HAUSSEN CT,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,f,f,2523,25,30,21,02,1150125,1919903,2001,06/17/2007 03:25:09 AM,41.936123388,-87.723689228,"(41.936123388, -87.723689228)"
454279,5595191,HN402507,01/03/2001 12:01:00 AM,029XX W LYNDALE ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,f,f,1414,14,35,22,17,1156292,1914904,2001,06/17/2007 03:25:09 AM,41.92228318,-87.70116028,"(41.92228318, -87.70116028)"
455639,5597572,HN404624,01/01/2001 12:01:00 AM,017XX N MONITOR AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,f,f,2531,25,29,25,06,1137201,1910955,2001,06/23/2007 02:27:54 AM,41.911811442,-87.771402295,"(41.911811442, -87.771402295)"
456680,5599055,HN400631,11/21/2001 12:01:00 AM,016XX E 95TH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,f,f,431,4,7,51,11,1189041,1842275,2001,07/20/2007 02:45:05 AM,41.722259508,-87.583162314,"(41.722259508, -87.583162314)"
