813,STREET,58,1158069,1876378,41.816527835,-87.695682551,"(41.816527835, -87.695682551)",134
815,APARTMENT,26,1146577,1900601,41.883225213,-87.737221581,"(41.883225213, -87.737221581)",135
816,AUTO,25,1141486,1907196,41.901418205,-87.755753257,"(41.901418205, -87.755753257)",136
817,STREET,68,1170586,1856076,41.760552767,-87.650358873,"(41.760552767, -87.650358873)",137
818,STREET,38,1179557,1877160,41.818209103,-87.616836043,"(41.818209103, -87.616836043)",138
819,VACANT LOT,27,1152280,1896784,41.87264034,-87.71638042,"(41.87264034, -87.71638042)",139
820,STREET,25,1139929,1905136,41.895793941,-87.761522791,"(41.895793941, -87.761522791)",140
821,APARTMENT,40,1177675,1867718,41.792342253,-87.624025622,"(41.792342253, -87.624025622)",141
822,ALLEY,59,1164894,1882621,41.833517597,-87.670470102,"(41.833517597, -87.670470102)",142
823,VACANT LOT,68,1175630,1861658,41.775759028,-87.631705609,"(41.775759028, -87.631705609)",143
826,AUTO,63,1155008,1867027,41.790929182,-87.707160999,"(41.790929182, -87.707160999)",144
828,RESTAURANT,25,1140937,1899509,41.880334264,-87.757959152,"(41.880334264, -87.757959152)",145
829,STREET,69,1177142,1855093,41.757709956,-87.626360608,"(41.757709956, -87.626360608)",146
830,VACANT LOT,53,1176678,1828368,41.684383426,-87.628862572,"(41.684383426, -87.628862572)",147
831,STREET,27,1157794,1897501,41.874497319,-87.696116405,"(41.874497319, -87.696116405)",148
832,STREET,25,1141627,1902404,41.888265781,-87.755353915,"(41.888265781, -87.755353915)",149
833,STREET,46,1191956,1850663,41.745206763,-87.572213565,"(41.745206763, -87.572213565)",150
834,STREET,42,1187984,1862596,41.778047465,-87.586387726,"(41.778047465, -87.586387726)",151
835,PARKING LOT,23,1149453,1909310,41.907068313,-87.72643443,"(41.907068313, -87.72643443)",152
836,PARKING LOT,57,1150353,1877152,41.818805434,-87.723966795,"(41.818805434, -87.723966795)",153
837,STREET,4,1159526,1930947,41.966240118,-87.688834357,"(41.966240118, -87.688834357)",154
840,STREET,58,1159109,1875135,41.813095647,-87.691901601,"(41.813095647, -87.691901601)",155
841,ALLEY,23,1147644,1910291,41.909795206,-87.733054499,"(41.909795206, -87.733054499)",156
842,PORCH,25,1138545,1904338,41.893629328,-87.766625355,"(41.893629328, -87.766625355)",157
844,STREET,58,1160396,1876520,41.816869798,-87.687142611,"(41.816869798, -87.687142611)",158
845,ALLEY,22,1157116,1912684,41.916174618,-87.698193061,"(41.916174618, -87.698193061)",159
846,APARTMENT,44,1182288,1851933,41.748920985,-87.607599019,"(41.748920985, -87.607599019)",160
847,STREET,24,1165938,1906095,41.89791011,-87.665969881,"(41.89791011, -87.665969881)",161
848,APARTMENT,35,1178211,1880409,41.827155316,-87.62167485,"(41.827155316, -87.62167485)",162
849,STREET,23,1148155,1907867,41.903133675,-87.731239785,"(41.903133675, -87.731239785)",163
850,YARD,63,1155285,1869103,41.796620481,-87.706089753,"(41.796620481, -87.706089753)",164
851,STREET,3,1168673,1932055,41.969086773,-87.655170335,"(41.969086773, -87.655170335)",165
852,RETAIL STORE,27,1156759,1899878,41.881041064,-87.699852066,"(41.881041064, -87.699852066)",166
854,AUTO,38,1177866,1876836,41.817358545,-87.623048957,"(41.817358545, -87.623048957)",167
855,STREET,25,1143319,1905529,41.896809705,-87.749062075,"(41.896809705, -87.749062075)",168
856,APARTMENT,15,1134607,1930912,41.966621877,-87.780459184,"(41.966621877, -87.780459184)",169
858,STREET,68,1169667,1865390,41.786131506,-87.653457181,"(41.786131506, -87.653457181)",170
859,GARAGE,63,1154265,1869640,41.798114448,-87.709815943,"(41.798114448, -87.709815943)",171
860,STREET,66,1154851,1861203,41.774950397,-87.707892022,"(41.774950397, -87.707892022)",172
861,AUTO,23,1149534,1906544,41.899476558,-87.72620879,"(41.899476558, -87.72620879)",173
862,HOUSE,44,1175370,1850995,41.746504322,-87.632976989,"(41.746504322, -87.632976989)",174
865,HALLWAY,69,1174658,1852760,41.751363575,-87.635533465,"(41.751363575, -87.635533465)",175
866,STREET,25,1138142,1900349,41.882690296,-87.768201943,"(41.882690296, -87.768201943)",176
867,APARTMENT,43,1192946,1860098,41.771073064,-87.568278663,"(41.771073064, -87.568278663)",177
868,APARTMENT,77,1167829,1938251,41.986107062,-87.658094107,"(41.986107062, -87.658094107)",178
869,STREET,23,1151436,1909414,41.907314968,-87.719147237,"(41.907314968, -87.719147237)",179
870,AUTO,24,1165276,1904752,41.894238925,-87.668439561,"(41.894238925, -87.668439561)",180
871,STREET,23,1152417,1905768,41.897290665,-87.715640007,"(41.897290665, -87.715640007)",181
872,YARD,52,1202502,1835718,41.703934124,-87.534080671,"(41.703934124, -87.534080671)",182
874,AUTO,28,1160993,1894660,41.866635577,-87.684449923,"(41.866635577, -87.684449923)",183
875,STREET,22,1156429,1914296,41.920612008,-87.700673381,"(41.920612008, -87.700673381)",184
876,AUTO,68,1171451,1860776,41.773431255,-87.647051179,"(41.773431255, -87.647051179)",185
877,STREET,26,1148029,1899673,41.880650875,-87.73191358,"(41.880650875, -87.73191358)",186
878,CHA HALLWAY,33,1176666,1889469,41.852051628,-87.627069839,"(41.852051628, -87.627069839)",187
879,ALLEY,67,1168860,1858654,41.767664563,-87.656610393,"(41.767664563, -87.656610393)",188
880,AUTO,42,1186174,1862666,41.778282502,-87.593020945,"(41.778282502, -87.593020945)",189
881,ALLEY,23,1147781,1911314,41.912599788,-87.732524889,"(41.912599788, -87.732524889)",190
883,PARKING LOT,23,1149548,1906070,41.898175582,-87.726169689,"(41.898175582, -87.726169689)",191
884,PARKING LOT,23,1149548,1906070,41.898175582,-87.726169689,"(41.898175582, -87.726169689)",192
885,ABANDONED BUILDING,38,1180758,1872483,41.805347471,-87.61257432,"(41.805347471, -87.61257432)",193
886,STREET,46,1196951,1849613,41.742202785,-87.5539463,"(41.742202785, -87.5539463)",194
887,STREET,43,1189896,1853383,41.752720443,-87.579674318,"(41.752720443, -87.579674318)",195
888,STREET,43,1189896,1853383,41.752720443,-87.579674318,"(41.752720443, -87.579674318)",196
890,ALLEY,49,1175632,1830232,41.689521935,-87.632636156,"(41.689521935, -87.632636156)",197
893,ALLEY,24,1165834,1907087,41.900634447,-87.666323534,"(41.900634447, -87.666323534)",198
894,PARK PROPERTY,22,1149751,1918330,41.931814232,-87.725104737,"(41.931814232, -87.725104737)",199
895,APARTMENT,77,1167365,1935030,41.977278576,-87.659893818,"(41.977278576, -87.659893818)",200
896,PORCH,53,1176844,1823026,41.669720424,-87.628414883,"(41.669720424, -87.628414883)",201
897,AUTO,25,1139629,1903430,41.891117948,-87.762666316,"(41.891117948, -87.762666316)",202
898,GANGWAY,25,1140145,1905627,41.897137351,-87.760717423,"(41.897137351, -87.760717423)",203
899,AUTO,48,1191712,1846791,41.734587561,-87.573232915,"(41.734587561, -87.573232915)",204
900,STREET,30,1149507,1884881,41.840031284,-87.726870112,"(41.840031284, -87.726870112)",205
